iter	Logloss
0	0.5154886836
1	0.4649048354
2	0.4443749486
3	0.4185145027
4	0.4003318913
5	0.3932436874
6	0.3784971133
7	0.3732091132
8	0.361637582
9	0.3584632267
10	0.3560546531
11	0.3487852932
12	0.3431276476
13	0.3408407907
14	0.3374043614
15	0.3346191762
16	0.3330573555
17	0.3312222168
18	0.3295835016
19	0.3289830178
20	0.3273848539
21	0.3263186329
22	0.3262514641
23	0.3244538409
24	0.3220557337
25	0.3213069773
26	0.3207902723
27	0.3192191148
28	0.3145761075
29	0.3144581873
30	0.3136985854
31	0.3135767304
32	0.312750937
33	0.3069134437
34	0.3061119649
35	0.3050231244
36	0.3042882559
37	0.3034889818
38	0.3032245747
39	0.3018923556
40	0.3014081985
41	0.2989727556
42	0.2983117841
43	0.2958231348
44	0.2937307412
45	0.2933557258
46	0.2924334826
47	0.2884029659
48	0.2869376809
49	0.2856325023
50	0.2833993405
51	0.2814068056
52	0.2803059695
53	0.2791739963
54	0.2775716772
55	0.2773810912
56	0.2772043351
57	0.2771048264
58	0.2769661208
59	0.2758205141
60	0.2729686513
61	0.2729676759
62	0.2726084964
63	0.2713357783
64	0.2704356043
65	0.2696540609
66	0.2694616797
67	0.2685617718
68	0.2679776323
69	0.2668662391
70	0.266553852
71	0.2665437383
72	0.2665099327
73	0.2660970276
74	0.2653113009
75	0.2646718046
76	0.2628038336
77	0.2623213799
78	0.2618924963
79	0.260657407
80	0.2603754622
81	0.2600135312
82	0.2597402858
83	0.2585671473
84	0.256364911
85	0.2515411475
86	0.2501622699
87	0.249620889
88	0.2494496597
89	0.2474183253
90	0.2472084061
91	0.2470537503
92	0.2469346424
93	0.2466331093
94	0.243680369
95	0.2436016229
96	0.2429261286
97	0.2424512515
98	0.2422789964
99	0.2422780486
100	0.2421806234
101	0.2421253533
102	0.2418865328
103	0.2397930048
104	0.2390412857
105	0.2359850664
106	0.2358640873
107	0.2358001785
108	0.2298065015
109	0.2296792862
110	0.2291900602
111	0.2269890957
112	0.2265971106
113	0.226055494
114	0.2260534333
115	0.2252011363
116	0.2247140478
117	0.2244812827
118	0.2244202706
119	0.2241490424
120	0.2236095194
121	0.2232883565
122	0.223286977
123	0.2232620621
124	0.2230632417
125	0.2230022723
126	0.2224293492
127	0.2213973642
128	0.2212425278
129	0.2211425488
130	0.2208018603
131	0.2189614889
132	0.2186682066
133	0.2184692218
134	0.2183259699
135	0.2180778468
136	0.2176995559
137	0.2176961638
138	0.2176235486
139	0.2175779714
140	0.2171684657
141	0.216720687
142	0.2166850903
143	0.2166232068
144	0.2163178914
145	0.2162061395
146	0.2154821184
147	0.2152257622
148	0.2150508589
149	0.214473585
