iter	Passed	Remaining
0	16	2516
1	31	2345
2	45	2249
3	62	2268
4	77	2257
5	92	2224
6	108	2213
7	123	2193
8	138	2165
9	151	2122
10	166	2109
11	181	2085
12	198	2092
13	236	2299
14	274	2467
15	331	2774
16	356	2790
17	371	2727
18	388	2676
19	409	2658
20	425	2614
21	443	2581
22	457	2527
23	475	2494
24	493	2466
25	509	2431
26	528	2405
27	548	2387
28	568	2371
29	586	2345
30	607	2331
31	627	2314
32	653	2315
33	670	2286
34	687	2257
35	702	2225
36	719	2195
37	735	2168
38	753	2145
39	770	2117
40	786	2090
41	802	2062
42	820	2040
43	836	2015
44	853	1991
45	872	1972
46	890	1952
47	909	1932
48	929	1915
49	947	1894
50	965	1874
51	983	1852
52	1000	1830
53	1016	1807
54	1033	1784
55	1050	1762
56	1065	1738
57	1082	1717
58	1098	1694
59	1114	1671
60	1130	1649
61	1140	1619
62	1161	1603
63	1180	1586
64	1197	1566
65	1215	1547
66	1232	1526
67	1247	1504
68	1264	1484
69	1281	1464
70	1296	1443
71	1306	1415
72	1323	1395
73	1341	1378
74	1360	1360
75	1379	1343
76	1399	1327
77	1416	1307
78	1435	1289
79	1454	1272
80	1472	1254
81	1491	1237
82	1508	1217
83	1527	1200
84	1545	1181
85	1561	1161
86	1578	1142
87	1594	1123
88	1610	1103
89	1627	1085
90	1644	1066
91	1660	1046
92	1676	1027
93	1692	1008
94	1710	990
95	1726	971
96	1743	952
97	1761	934
98	1777	915
99	1787	893
100	1807	876
101	1824	858
102	1841	840
103	1858	822
104	1875	803
105	1892	785
106	1908	766
107	1922	747
108	1937	728
109	1951	709
110	1966	691
111	1982	672
112	1997	654
113	2013	635
114	2022	615
115	2037	597
116	2051	578
117	2066	560
118	2081	542
119	2097	524
120	2112	506
121	2126	488
122	2132	468
123	2147	450
124	2162	432
125	2177	414
126	2192	397
127	2208	379
128	2226	362
129	2244	345
130	2263	328
131	2283	311
132	2303	294
133	2320	277
134	2336	259
135	2354	242
136	2370	224
137	2381	207
138	2401	190
139	2418	172
140	2435	155
141	2457	138
142	2477	121
143	2497	104
144	2531	87
145	2611	71
146	2649	54
147	2687	36
148	2748	18
149	2786	0
